customerID,tenure,PhoneService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn
7590-VHVEG,1,No,Month-to-month,Yes,Electronic check,29.85,No
5575-GNVDE,34,Yes,One year,No,Mailed check,56.95,No
3668-QPYBK,2,Yes,Month-to-month,Yes,Mailed check,53.85,Yes
7795-CFOCW,45,No,One year,No,Bank transfer (automatic),42.3,No
9237-HQITU,2,Yes,Month-to-month,Yes,Electronic check,70.7,Yes
9305-CDSKC,8,Yes,Month-to-month,Yes,Electronic check,99.65,Yes
1452-KIOVK,22,Yes,Month-to-month,Yes,Credit card (automatic),89.1,No
6713-OKOMC,10,No,Month-to-month,No,Mailed check,29.75,No
7892-POOKP,28,Yes,Month-to-month,Yes,Electronic check,104.8,Yes
6388-TABGU,62,Yes,One year,No,Bank transfer (automatic),56.15,No
9763-GRSKD,13,Yes,Month-to-month,Yes,Mailed check,49.95,No
7469-LKBCI,16,Yes,Two year,No,Credit card (automatic),18.95,No
8091-TTVAX,58,Yes,One year,No,Credit card (automatic),100.35,No
0280-XJGEX,49,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,Yes
5129-JLPIS,25,Yes,Month-to-month,Yes,Electronic check,105.5,No
3655-SNQYZ,69,Yes,Two year,No,Credit card (automatic),113.25,No
8191-XWSZG,52,Yes,One year,No,Mailed check,20.65,No
9959-WOFKT,71,Yes,Two year,No,Bank transfer (automatic),106.7,No
4190-MFLUW,10,Yes,Month-to-month,No,Credit card (automatic),55.2,Yes
4183-MYFRB,21,Yes,Month-to-month,Yes,Electronic check,90.05,No
8779-QRDMV,1,No,Month-to-month,Yes,Electronic check,39.65,Yes
1680-VDCWW,12,Yes,One year,No,Bank transfer (automatic),19.8,No
1066-JKSGK,1,Yes,Month-to-month,No,Mailed check,20.15,Yes
3638-WEABW,58,Yes,Two year,Yes,Credit card (automatic),59.9,No
6322-HRPFA,49,Yes,Month-to-month,No,Credit card (automatic),59.6,No
6865-JZNKO,30,Yes,Month-to-month,Yes,Bank transfer (automatic),55.3,No
6467-CHFZW,47,Yes,Month-to-month,Yes,Electronic check,99.35,Yes
8665-UTDHZ,1,No,Month-to-month,No,Electronic check,30.2,Yes
5248-YGIJN,72,Yes,Two year,Yes,Credit card (automatic),90.25,No
8773-HHUOZ,17,Yes,Month-to-month,Yes,Mailed check,64.7,Yes
3841-NFECX,71,Yes,Two year,Yes,Credit card (automatic),96.35,No
4929-XIHVW,2,Yes,Month-to-month,Yes,Credit card (automatic),95.5,No
6827-IEAUQ,27,Yes,One year,No,Mailed check,66.15,No
7310-EGVHZ,1,Yes,Month-to-month,No,Bank transfer (automatic),20.2,No
3413-BMNZE,1,Yes,Month-to-month,No,Bank transfer (automatic),45.25,No
6234-RAAPL,72,Yes,Two year,No,Bank transfer (automatic),99.9,No
6047-YHPVI,5,Yes,Month-to-month,Yes,Electronic check,69.7,Yes
6572-ADKRS,46,Yes,Month-to-month,Yes,Credit card (automatic),74.8,No
5380-WJKOV,34,Yes,Month-to-month,Yes,Electronic check,106.35,Yes
8168-UQWWF,11,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,Yes
8865-TNMNX,10,Yes,One year,No,Mailed check,49.55,No
9489-DEDVP,70,Yes,Two year,Yes,Credit card (automatic),69.2,No
9867-JCZSP,17,Yes,One year,No,Mailed check,20.75,No
4671-VJLCL,63,Yes,Two year,Yes,Credit card (automatic),79.85,No
4080-IIARD,13,Yes,Month-to-month,Yes,Electronic check,76.2,No
3714-NTNFO,49,Yes,Month-to-month,Yes,Electronic check,84.5,No
5948-UJZLF,2,Yes,Month-to-month,No,Mailed check,49.25,No
7760-OYPDY,2,Yes,Month-to-month,Yes,Electronic check,80.65,Yes
7639-LIAYI,52,Yes,Two year,Yes,Credit card (automatic),79.75,No
2954-PIBKO,69,Yes,Two year,Yes,Credit card (automatic),64.15,No
8012-SOUDQ,43,Yes,Month-to-month,Yes,Electronic check,90.25,No
9420-LOJKX,15,Yes,Month-to-month,Yes,Credit card (automatic),99.1,Yes
6575-SUVOI,25,Yes,Month-to-month,Yes,Credit card (automatic),69.5,No
7495-OOKFY,8,Yes,Month-to-month,Yes,Credit card (automatic),80.65,Yes
4667-QONEA,60,Yes,One year,Yes,Credit card (automatic),74.85,No
1658-BYGOY,18,Yes,Month-to-month,Yes,Electronic check,95.45,Yes
8769-KKTPH,63,Yes,One year,Yes,Credit card (automatic),99.65,No
5067-XJQFU,66,Yes,One year,Yes,Electronic check,108.45,No
3957-SQXML,34,Yes,Two year,No,Credit card (automatic),24.95,No
